,invoice_id,invoice_detail_url,invoice_date,country_of_origin,seller,distribution_area,total_price,detail
0,0,/invoice/0,2023-01-01,USA,Milkshake International,Jakarta,3708000000,"[{'brand': 'Apple', 'type': 'iPhone 6s', 'price': 3000000, 'quantity': '28'}, {'brand': 'Apple', 'type': 'iPhone 13 Pro Max', 'price': 22000000, 'quantity': '20'}, {'brand': 'Apple', 'type': 'iPhone 14 Plus', 'price': 19000000, 'quantity': '32'}, {'brand': 'Apple', 'type': 'iPhone 14 Pro Max', 'price': 25000000, 'quantity': '33'}, {'brand': 'Apple', 'type': 'iPhone XS Max', 'price': 11000000, 'quantity': '42'}, {'brand': 'Apple', 'type': 'iPhone 7', 'price': 5000000, 'quantity': '41'}, {'brand': 'Apple', 'type': 'iPhone 12 Pro Max', 'price': 20000000, 'quantity': '37'}, {'brand': 'Apple', 'type': 'iPhone X', 'price': 8000000, 'quantity': '43'}]"
1,1,/invoice/1,2023-01-02,South Korea,KimchiTEL,Semarang,1227000000,"[{'brand': 'Samsung', 'type': 'F250', 'price': 1000000, 'quantity': '34'}, {'brand': 'Samsung', 'type': 'Galaxy A30s', 'price': 4000000, 'quantity': '21'}, {'brand': 'Samsung', 'type': 'Galaxy S8', 'price': 8000000, 'quantity': '45'}, {'brand': 'LG', 'type': 'K8', 'price': 2000000, 'quantity': '21'}, {'brand': 'LG', 'type': 'K4', 'price': 2000000, 'quantity': '47'}, {'brand': 'Samsung', 'type': 'Z1', 'price': 14000000, 'quantity': '35'}, {'brand': 'Samsung', 'type': 'Galaxy M22', 'price': 3000000, 'quantity': '41'}]"
2,2,/invoice/2,2023-01-02,USA,Cheeseburger Limited,Serang,2270000000,"[{'brand': 'Apple', 'type': 'iPhone 14 Pro Max', 'price': 25000000, 'quantity': '32'}, {'brand': 'Apple', 'type': 'iPhone 12 Pro', 'price': 18000000, 'quantity': '25'}, {'brand': 'Apple', 'type': 'iPhone 13 Pro Max', 'price': 22000000, 'quantity': '26'}, {'brand': 'Apple', 'type': 'iPhone 7', 'price': 5000000, 'quantity': '48'}, {'brand': 'Apple', 'type': 'iPhone X', 'price': 8000000, 'quantity': '26'}]"
3,3,/invoice/3,2023-01-02,USA,Cheeseburger Limited,Bandung,1760000000,"[{'brand': 'Apple', 'type': 'iPhone 14 Plus', 'price': 19000000, 'quantity': '38'}, {'brand': 'Apple', 'type': 'iPhone 13 Pro Max', 'price': 22000000, 'quantity': '29'}, {'brand': 'Apple', 'type': 'iPhone X', 'price': 8000000, 'quantity': '50'}]"
4,4,/invoice/4,2023-01-02,China,Lamian Communication,Jakarta,416000000,"[{'brand': 'vivo', 'type': 'X3S', 'price': 3000000, 'quantity': '34'}, {'brand': 'vivo', 'type': 'Y31', 'price': 3000000, 'quantity': '48'}, {'brand': 'Realme', 'type': '7i', 'price': 3000000, 'quantity': '41'}, {'brand': 'Realme', 'type': 'Watch 2 Pro', 'price': 1000000, 'quantity': '47'}]"
5,5,/invoice/5,2023-01-02,South Korea,BibimbapNET,Yogyakarta,710000000,"[{'brand': 'Samsung', 'type': 'Galaxy M22', 'price': 3000000, 'quantity': '39'}, {'brand': 'Samsung', 'type': 'Galaxy S20 FE', 'price': 8000000, 'quantity': '28'}, {'brand': 'Samsung', 'type': 'Galaxy A42 5G', 'price': 1000000, 'quantity': '33'}, {'brand': 'Samsung', 'type': 'Z1', 'price': 14000000, 'quantity': '24'}]"
6,6,/invoice/6,2023-01-02,USA,Milkshake International,Surabaya,3241000000,"[{'brand': 'Apple', 'type': 'iPhone 7', 'price': 5000000, 'quantity': '24'}, {'brand': 'Apple', 'type': 'iPhone 13 Pro Max', 'price': 22000000, 'quantity': '38'}, {'brand': 'Apple', 'type': 'iPhone 14 Plus', 'price': 19000000, 'quantity': '44'}, {'brand': 'Apple', 'type': 'iPhone X', 'price': 8000000, 'quantity': '21'}, {'brand': 'Apple', 'type': 'iPhone 6s', 'price': 3000000, 'quantity': '48'}, {'brand': 'Apple', 'type': 'iPhone 12 Pro', 'price': 18000000, 'quantity': '43'}, {'brand': 'Apple', 'type': 'iPhone XS Max', 'price': 11000000, 'quantity': '33'}]"
7,7,/invoice/7,2023-01-03,South Korea,KimchiTEL,Jakarta,1896000000,"[{'brand': 'Samsung', 'type': 'Z', 'price': 18000000, 'quantity': '34'}, {'brand': 'Samsung', 'type': 'F250', 'price': 1000000, 'quantity': '41'}, {'brand': 'Samsung', 'type': 'Z1', 'price': 14000000, 'quantity': '30'}, {'brand': 'Samsung', 'type': 'Galaxy M22', 'price': 3000000, 'quantity': '50'}, {'brand': 'Samsung', 'type': 'Galaxy S20 FE', 'price': 8000000, 'quantity': '44'}, {'brand': 'Samsung', 'type': 'Galaxy J2 Prime', 'price': 2000000, 'quantity': '46'}, {'brand': 'Samsung', 'type': 'Galaxy A42 5G', 'price': 1000000, 'quantity': '33'}, {'brand': 'Samsung', 'type': 'Galaxy M32', 'price': 4000000, 'quantity': '49'}]"
8,8,/invoice/8,2023-01-04,USA,Cheeseburger Limited,Yogyakarta,2160000000,"[{'brand': 'Apple', 'type': 'iPhone 14 Pro Max', 'price': 25000000, 'quantity': '39'}, {'brand': 'Apple', 'type': 'iPhone 14 Plus', 'price': 19000000, 'quantity': '33'}, {'brand': 'Apple', 'type': 'iPhone 6s', 'price': 3000000, 'quantity': '48'}, {'brand': 'Apple', 'type': 'iPhone 12 Pro', 'price': 18000000, 'quantity': '23'}]"
9,9,/invoice/9,2023-01-05,South Korea,BibimbapNET,Serang,261000000,"[{'brand': 'Samsung', 'type': 'Galaxy A8', 'price': 5000000, 'quantity': '23'}, {'brand': 'LG', 'type': 'K8', 'price': 2000000, 'quantity': '34'}, {'brand': 'Samsung', 'type': 'Galaxy J2 Prime', 'price': 2000000, 'quantity': '39'}]"
